LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 nir_2_0 nir_2_1 nir_2_2 nir_2_3 nir_2_4 nir_2_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5 x_coord y_coord
1.0 447.0 373.47857666015625 290.8519287109375 355.99993896484375 369.9999694824219 524.0 698.0 472.556396484375 433.9119873046875 485.0 508.0000915527344 609.0000610351562 738.0 348.2756042480469 301.1873474121094 333.0000305175781 316.00006103515625 473.0 1224.0 707.1114501953125 708.2645263671875 720.0 759.9999389648438 711.0001220703125 2298.0 1585.4072265625 1694.5115966796875 1661.0 1833.9998779296875 1376.000244140625 2819.0 1886.423095703125 1984.234130859375 1908.0001220703125 2142.999755859375 1692.0001220703125 2230.0 1826.4432373046875 1971.532470703125 2104.0 2467.9990234375 1887.9998779296875 3261.0 2124.515380859375 2180.18359375 2153.0 2322.0 1851.000244140625 1865.0 1175.120361328125 1142.69287109375 1184.0001220703125 1298.0001220703125 1218.0001220703125 1346.0 614.591064453125 569.6318359375 547.0000610351562 572.0001831054688 703.0 0.5026954412460327 0.6880497336387634 0.7326270937919617 0.7267131805419922 0.7729883193969727 0.5993224382400513 748075.0 9725355.0
1.0 446.99688720703125 434.5 356.0002136230469 334.80279541015625 633.0 316.0000915527344 524.000732421875 567.5 522.0001831054688 506.52874755859375 712.0 471.0000915527344 335.00616455078125 525.5 369.0001220703125 337.07208251953125 509.0 266.0000915527344 820.003173828125 940.5 874.9999389648438 823.6015625 963.5 751.0001220703125 1921.997314453125 1956.0 2185.0 2267.94873046875 2105.5 2177.0 2337.994384765625 2255.5 2688.0 2689.625732421875 2479.5 2613.0 2287.986572265625 2050.0 2602.0 2900.986083984375 2496.0 2526.0 2528.994384765625 2466.5 2808.000244140625 2966.913818359375 2604.5 2826.999755859375 1277.0029296875 1462.0 1498.9998779296875 1374.7828369140625 1225.0 1380.999755859375 558.0101318359375 856.5 704.0000610351562 619.166748046875 633.0 617.0 0.7445626854896545 0.5955359935760498 0.7515986561775208 0.7956960201263428 0.6117448210716248 0.8094555735588074 757785.0 9715645.0
1.0 305.0018615722656 572.3023681640625 575.6813354492188 1206.912353515625 436.5420227050781 292.0 524.0014038085938 838.8572998046875 736.6885986328125 1244.330810546875 523.8021240234375 426.0 302.00164794921875 778.6290283203125 506.45660400390625 1079.57421875 360.41082763671875 254.0 857.0012817382812 1228.087646484375 1041.642822265625 1371.91064453125 805.9906005859375 694.0 2988.998779296875 2717.76611328125 2895.455810546875 2314.21533203125 2084.468505859375 1997.0 3534.99853515625 3268.39990234375 3538.310546875 2589.4970703125 2556.592529296875 2736.0 4131.9990234375 3434.84423828125 3733.2412109375 2659.349853515625 2406.071044921875 2878.0 3616.000244140625 3564.04541015625 3752.609375 2753.679443359375 2857.006103515625 2881.0 1760.9993896484375 1889.3126220703125 1667.921142578125 1621.189697265625 1409.385009765625 1207.0 788.0 1341.83837890625 862.3883056640625 937.1994018554688 694.5911865234375 547.0 0.863779604434967 0.6421193480491638 0.7600223422050476 0.4344865679740906 0.7688716053962708 0.8378032445907593 761525.0 9734105.0
1.0 462.61895751953125 635.5 357.8200988769531 274.00006103515625 899.0310668945312 275.0012512207031 555.5012817382812 752.5 545.6461791992188 428.0 859.5830078125 349.0012512207031 428.4954528808594 623.0 426.11700439453125 349.0 648.2843017578125 245.00115966796875 750.8350219726562 1055.5 833.266357421875 720.0 1039.9072265625 631.0009155273438 1698.280029296875 2240.5 2188.76611328125 1844.0 1902.6845703125 1879.9998779296875 2018.4632568359375 2562.0 2799.094970703125 2288.0 2265.657470703125 2305.9990234375 1978.5924072265625 2419.0 2541.9560546875 2210.0 2016.889404296875 1976.0006103515625 2298.1181640625 2827.0 3080.82177734375 2571.999755859375 2542.81591796875 2688.99853515625 1209.9718017578125 1487.0 1587.914306640625 1420.0 1438.25 1355.0 621.8594970703125 806.5 762.73974609375 737.9998168945312 906.5223999023438 586.000244140625 0.6518074870109558 0.6464711427688599 0.7139481902122498 0.7272372245788574 0.5205503702163696 0.7793785333633423 755675.0 9723545.0
1.0 1022.0 664.0 353.6923522949219 252.0 366.0003356933594 310.0 1023.5 865.0 618.3775634765625 508.0 588.0003662109375 550.0 899.0 639.5 367.93896484375 317.0 391.0003356933594 309.0 1549.0 1222.5 975.1431884765625 928.0 1063.000244140625 913.0 2853.5 3062.5 3067.757080078125 2544.0 2634.0 2769.0 3333.5 3540.0 3680.1083984375 3084.999755859375 3121.999755859375 3328.0 3147.0 3667.0 3887.537353515625 3194.0 3391.999755859375 3516.0 3611.5 3762.5 4041.406494140625 3425.0 3668.99951171875 3568.0 2014.0 1943.5 1696.193115234375 1882.0 2004.9998779296875 1765.0 1567.0 1101.5 794.46142578125 841.0 902.0001220703125 808.0 0.5534478425979614 0.7082880139350891 0.826239287853241 0.819424569606781 0.793285608291626 0.8384313583374023 752025.0 9727985.0
1.0 668.6614379882812 1151.353515625 454.0301208496094 517.2386474609375 1084.0 1002.1320190429688 587.63623046875 982.1749267578125 621.3525390625 575.8878784179688 1200.0 1076.31396484375 459.31951904296875 960.7899780273438 704.3238525390625 558.7559204101562 1234.0 1077.45703125 773.4965209960938 1264.0692138671875 1212.375 1002.1564331054688 1567.0 1556.781494140625 1641.404541015625 1978.4248046875 2020.3934326171875 1430.2420654296875 2048.0 2215.23974609375 2040.2772216796875 2045.627197265625 2390.07177734375 1665.154052734375 2187.0 2557.03173828125 1891.1356201171875 1703.0931396484375 1646.2432861328125 1288.1412353515625 1792.0 2374.603515625 2076.244140625 2117.1943359375 2581.093505859375 1646.15625 2217.0 2612.38623046875 1242.1656494140625 1464.017822265625 1675.7996826171875 1309.2261962890625 1661.0 1601.8685302734375 779.9583740234375 889.6964721679688 1077.1912841796875 829.51025390625 1383.0 1086.2642822265625 0.5883750915527344 0.2690713703632355 0.4035075902938843 0.39213407039642334 0.18440182507038116 0.4166112244129181 747815.0 9715745.0
1.0 477.0001220703125 618.0001220703125 375.5391540527344 478.6415100097656 723.9998779296875 956.5 642.0001220703125 689.0001220703125 480.82574462890625 529.56982421875 770.9998779296875 1221.5 606.0000610351562 587.0001220703125 390.7763366699219 457.7835998535156 676.0 1242.5 896.0001220703125 927.0000610351562 670.6910400390625 751.2428588867188 954.0 1558.0 1774.0001220703125 2036.0001220703125 1554.6260986328125 1485.83056640625 1865.9998779296875 2464.5 2137.0 2446.000244140625 1814.24169921875 1793.443603515625 2216.000244140625 2755.0 2375.999755859375 2763.000244140625 2104.63623046875 1948.9306640625 2458.0 2599.0 2378.0 2716.000244140625 2082.2919921875 1990.51953125 2459.0 2975.5 1750.0001220703125 1714.0001220703125 1352.37939453125 1405.833740234375 1693.0001220703125 2009.0 1129.0 961.0 750.1456298828125 869.596923828125 1015.0000610351562 1571.0 0.5935613512992859 0.6495523452758789 0.6867600679397583 0.6353235244750977 0.568602442741394 0.4309465289115906 816745.0 9849965.0
1.0 1229.224853515625 65.0 243.00221252441406 363.19415283203125 836.5 693.9998779296875 1400.01416015625 249.0 390.00067138671875 472.0963134765625 756.5 788.9999389648438 1341.0318603515625 126.0 271.0019226074219 318.350341796875 477.0 661.9998779296875 1735.9664306640625 605.0 655.0026245117188 768.5692138671875 1094.5 1085.0 2643.188720703125 1740.0 1731.000732421875 1835.32763671875 2666.0 2210.0 2985.180419921875 2052.0 2146.999755859375 2225.674560546875 3244.0 2611.000244140625 2777.720458984375 1820.0 1986.0029296875 2145.746826171875 2984.0 2522.0 3146.2958984375 2250.0 2288.00244140625 2476.9423828125 3601.0 2911.0 2195.109375 1269.0 1297.9969482421875 1216.568115234375 1709.0 1554.0001220703125 1557.3636474609375 599.0 636.9979858398438 568.6961059570312 1237.5 918.0000610351562 0.3594149351119995 0.8705035448074341 0.7598574757575989 0.744022011756897 0.724507212638855 0.5841708779335022 751055.0 9714185.0
1.0 250.5 2960.0 279.0000305175781 514.789794921875 545.8775634765625 692.0 344.0 2938.5 405.0000305175781 761.0016479492188 658.4917602539062 653.0 216.5 2714.0 318.0 853.4769897460938 579.3389892578125 610.0 669.5 3091.0 860.9999389648438 1332.78271484375 1084.564453125 1063.0 1520.0 3564.5 1813.0 1998.143310546875 1779.171875 2087.0 1699.0 3766.5 2119.0 2324.978515625 2059.675048828125 2407.0 1512.0 3558.0 2264.0 1929.056396484375 1568.644775390625 2020.0 1936.5 3802.5 2205.000244140625 2600.77294921875 2312.1611328125 2534.0 1085.5 2011.5 1573.9998779296875 2017.6160888671875 1820.9212646484375 1910.0 548.0 1198.0 831.9999389648438 1383.73974609375 1073.163330078125 1083.0 0.7488726377487183 0.34645047783851624 0.7536792755126953 0.3959142863750458 0.5225586891174316 0.536121666431427 765235.0 9728825.0
1.0 0.0 0.0 698.98046875 212.0 1143.5 340.0 0.0 0.0 779.6151123046875 424.0 1057.5 542.0 0.0 0.0 694.2393798828125 384.0 1079.5 475.5 0.0 0.0 1112.2933349609375 822.0 1620.5 907.5 0.0 0.0 1991.300537109375 1632.0 2104.5 1877.5 0.0 0.0 2257.026123046875 1892.0 2309.0 2187.0 0.0 0.0 2289.057373046875 1928.0 1739.5 2287.0 0.0 0.0 2523.09375 2064.0 2530.0 2377.5 0.0 0.0 1643.834228515625 1505.0 1757.5 1575.0 0.0 0.0 1000.427490234375 867.0 1646.0 860.5 0.0 0.0 0.5578807592391968 0.6678199768066406 0.28969573974609375 0.6565166115760803 774645.0 9832425.0
