LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 nir_2_0 nir_2_1 nir_2_2 nir_2_3 nir_2_4 nir_2_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
10.0 891.9130859375 916.8281860351562 664.6509399414062 738.6489868164062 1071.101318359375 630.0001220703125 1161.31787109375 1103.05224609375 935.8116455078125 1098.460205078125 1318.6788330078125 1004.0000610351562 1052.6875 1142.556396484375 1074.9093017578125 1475.4248046875 1612.3424072265625 1400.0 1581.5986328125 1480.712890625 1496.155517578125 1786.024169921875 1930.951416015625 1740.9998779296875 2658.6044921875 2380.82373046875 2267.28857421875 2175.88671875 2318.27392578125 2196.0 2953.299072265625 2633.154052734375 2514.47900390625 2403.827392578125 2515.571044921875 2357.000244140625 2928.19921875 2502.65185546875 2670.5517578125 2480.004150390625 2451.9990234375 2280.0 3078.460205078125 2738.08349609375 2707.332275390625 2588.8212890625 2631.5693359375 2383.000244140625 2397.03173828125 2034.154296875 2787.058349609375 3059.202880859375 3185.463134765625 2944.0 1598.653564453125 1368.947021484375 1965.48828125 2341.91845703125 2577.752685546875 2381.0 0.4729755222797394 0.375554621219635 0.42754605412483215 0.2547484040260315 0.20645053684711456 0.23913048207759857
10.0 1231.5306396484375 1266.384521484375 667.0916748046875 619.0303344726562 1023.039794921875 407.04644775390625 1265.635986328125 1524.4462890625 937.1411743164062 839.624755859375 1189.512451171875 630.54052734375 1206.052490234375 1504.9315185546875 877.7197265625 1129.300537109375 1435.7108154296875 828.3060913085938 1644.017578125 2063.978271484375 1612.500244140625 1696.3392333984375 1847.465087890625 1448.0966796875 2383.20703125 3121.51416015625 2861.6298828125 2212.12890625 2232.317138671875 2111.15625 2622.62548828125 3415.4150390625 3139.099365234375 2449.061767578125 2408.781494140625 2293.4921875 2589.57470703125 3179.13427734375 3193.990478515625 2375.263916015625 2152.76220703125 1971.580078125 2666.83984375 3419.238525390625 3295.8154296875 2566.77197265625 2444.115478515625 2301.541015625 2238.4541015625 2650.361083984375 2624.23486328125 2800.1796875 2784.944580078125 2481.756103515625 1588.025634765625 1889.251708984375 1771.298583984375 2149.1337890625 2247.55078125 1927.7001953125 0.3688160479068756 0.37920069694519043 0.5690986514091492 0.35590463876724243 0.20403741300106049 0.40808576345443726
10.0 754.6421508789062 522.5 304.1908264160156 456.1111145019531 713.9755249023438 316.25323486328125 969.0803833007812 654.0 544.4793701171875 665.00244140625 981.2445068359375 583.496826171875 685.8095092773438 496.0 371.88507080078125 562.8448486328125 970.0009765625 456.1683654785156 1198.525390625 819.0 929.7869873046875 1058.2249755859375 1494.3536376953125 979.799560546875 2997.766357421875 1953.0 2785.33544921875 2488.606689453125 2376.01953125 2513.353271484375 3566.157470703125 2341.5 3373.6279296875 2939.353515625 2719.48291015625 2954.16845703125 3535.08837890625 2233.5 3320.046630859375 2977.385986328125 2803.77197265625 2942.037353515625 3767.201416015625 2429.0 3657.02783203125 3273.961181640625 2997.9169921875 3246.45068359375 1762.3544921875 997.5 1635.1773681640625 1785.6048583984375 2497.19482421875 1818.70361328125 970.8741455078125 601.5 822.483642578125 987.6395263671875 1664.428955078125 1004.4781494140625 0.6814963221549988 0.6981078386306763 0.7988717555999756 0.6835467219352722 0.4814182221889496 0.7307956218719482
10.0 729.6846923828125 710.201904296875 502.552490234375 602.9906616210938 854.234130859375 593.9771118164062 998.9647216796875 1060.936279296875 827.3263549804688 862.4437255859375 1103.582763671875 971.8082885742188 820.8148193359375 821.1201171875 677.6117553710938 956.7732543945312 1273.2442626953125 1053.8734130859375 1409.38525390625 1584.43359375 1379.7303466796875 1405.283203125 1625.6484375 1560.0650634765625 2608.45556640625 3116.593017578125 2748.197998046875 2221.123291015625 2277.44140625 2628.268798828125 2989.74560546875 3411.0 3119.24755859375 2542.41162109375 2543.2998046875 2963.646728515625 2949.73583984375 3395.396240234375 3092.04248046875 2510.13232421875 2473.34228515625 2901.9990234375 3166.251953125 3679.928466796875 3369.94921875 2806.9453125 2766.718017578125 3127.8330078125 2331.478759765625 2386.615234375 2452.508544921875 2669.584716796875 2774.988037109375 2644.453857421875 1537.25439453125 1434.870849609375 1507.8773193359375 1830.8887939453125 2069.107177734375 1874.7572021484375 0.5691242218017578 0.6355661749839783 0.6370657086372375 0.44864749908447266 0.3215732276439667 0.4675039052963257
10.0 807.0016479492188 1103.68994140625 1056.7208251953125 1208.9715576171875 1219.2933349609375 895.0 1042.0010986328125 1190.656494140625 1241.3172607421875 1468.749755859375 1319.040283203125 1127.0 1296.0003662109375 1412.3778076171875 1495.6004638671875 1878.5269775390625 1544.235595703125 1425.0 1579.9998779296875 1746.578369140625 1646.93896484375 2197.20361328125 2155.6064453125 2019.5 1854.9998779296875 1902.8837890625 1778.4993896484375 2386.77001953125 2297.16552734375 2137.5 1838.000244140625 1996.58740234375 1820.273193359375 2372.06396484375 2394.72900390625 2225.0 1522.0010986328125 1589.5521240234375 1775.99169921875 2275.17431640625 1797.8358154296875 1575.5 1814.00048828125 1928.3717041015625 1850.385498046875 2482.693115234375 2311.88134765625 2309.5 2200.998291015625 2077.082763671875 2089.891357421875 3161.65771484375 2832.1357421875 2617.5 2057.997802734375 1794.795166015625 1809.626953125 3094.048095703125 2739.5908203125 2590.0 0.08019883930683136 0.05875365063548088 0.0828297808766365 0.09565972536802292 0.07487761974334717 0.05009092763066292
10.0 897.2348022460938 893.0293579101562 614.6917724609375 652.20703125 951.1925048828125 740.1470947265625 1068.267333984375 1143.1083984375 872.8857421875 914.892333984375 1213.57568359375 1133.8612060546875 1082.559814453125 1061.7845458984375 885.6920166015625 1294.184814453125 1581.968505859375 1554.7420654296875 1486.2125244140625 1523.0289306640625 1335.3450927734375 1565.8570556640625 1817.8035888671875 1902.706787109375 2558.90478515625 2786.43994140625 2421.10888671875 1953.47998046875 2141.03515625 2335.737060546875 2764.65869140625 3049.98095703125 2742.116943359375 2094.82958984375 2307.99658203125 2535.467529296875 2644.0634765625 2934.26513671875 2610.55419921875 2183.612548828125 2277.35595703125 2472.009521484375 2910.3232421875 3189.56689453125 2929.835205078125 2347.190673828125 2434.48974609375 2637.848876953125 2328.4794921875 2152.33251953125 2373.730712890625 2787.845703125 3060.550048828125 3068.4970703125 1567.9342041015625 1412.6905517578125 1573.3502197265625 2147.131103515625 2654.6572265625 2585.389892578125 0.42237722873687744 0.4632319211959839 0.5019561052322388 0.25624576210975647 0.1785549819469452 0.22774924337863922
10.0 486.02239990234375 5124.0 345.4461669921875 448.2325744628906 668.9888916015625 1087.198486328125 688.981689453125 5101.0 568.8281860351562 683.6787109375 902.7943725585938 1348.6290283203125 456.735107421875 4928.0 384.3177185058594 587.8388061523438 913.0480346679688 1110.917724609375 1002.8800659179688 5163.0 967.3225708007812 1141.6619873046875 1400.0390625 1731.064208984375 2562.939697265625 5648.5 2778.562744140625 2654.281005859375 2419.247802734375 3512.005859375 3177.332763671875 5813.5 3466.793701171875 3166.47900390625 2801.586181640625 4092.10693359375 3251.674072265625 5897.0 3474.656494140625 3118.171142578125 2747.712646484375 4094.784912109375 3304.61669921875 5799.0 3690.18505859375 3490.15283203125 3032.410400390625 4275.00048828125 1507.9658203125 1838.0 1819.7447509765625 2094.7353515625 2417.65869140625 2408.914306640625 873.3316040039062 1612.5 1055.6580810546875 1256.4854736328125 1696.85107421875 1617.0399169921875 0.7511561512947083 0.17549365758895874 0.8003715872764587 0.6822605729103088 0.5029245615005493 0.6046869158744812
10.0 686.0000610351562 0.0 515.4926147460938 632.001953125 1042.780029296875 597.5946044921875 1115.999755859375 0.0 778.1188354492188 900.2130126953125 1244.43701171875 902.1365966796875 962.9999389648438 0.0 886.7255249023438 1103.6761474609375 1462.78173828125 1290.3299560546875 1502.0 0.0 1572.9930419921875 1665.5640869140625 1895.01123046875 1703.5625 2426.000244140625 0.0 2226.42236328125 2102.887451171875 2169.457763671875 2046.80615234375 2708.0 0.0 2438.137939453125 2309.166748046875 2300.5341796875 2158.360107421875 2973.99951171875 0.0 2481.28466796875 2287.88818359375 2161.97607421875 1963.927978515625 2740.0 0.0 2477.685546875 2437.2353515625 2402.805419921875 2239.16552734375 1955.0001220703125 0.0 2435.737060546875 2597.181640625 2759.892578125 2599.84716796875 1371.0 0.0 1933.9495849609375 2079.73876953125 2351.675048828125 2132.220947265625 0.5107949376106262 0.0 0.4743821322917938 0.35094529390335083 0.19303879141807556 0.20670820772647858
10.0 561.1906127929688 1462.5 600.439697265625 675.7632446289062 849.7398681640625 541.551513671875 760.1265258789062 1732.0 821.481689453125 937.8175659179688 1103.7471923828125 880.18115234375 705.1064453125 1755.0 902.3613891601562 1151.791015625 1361.1707763671875 1114.2744140625 1171.1143798828125 2140.5 1266.6029052734375 1415.5672607421875 1550.0908203125 1336.378173828125 2673.42138671875 3180.5 2492.465087890625 2185.216796875 2194.508056640625 2152.658935546875 3088.064697265625 3441.5 2893.185546875 2459.046142578125 2469.682861328125 2450.576171875 3045.086669921875 3382.0 2864.729248046875 2575.2021484375 2556.033203125 2479.713623046875 3314.203369140625 3624.0 3199.322509765625 2770.136962890625 2687.125 2639.79150390625 1948.9384765625 2571.0 2176.498291015625 2386.8212890625 2704.317626953125 2344.0615234375 1119.361572265625 1891.0 1290.74951171875 1544.9599609375 1891.963134765625 1589.549072265625 0.6242516040802002 0.34628915786743164 0.5199068784713745 0.38141942024230957 0.30489790439605713 0.3805423378944397
10.0 609.5093994140625 525.0001220703125 782.67529296875 480.66375732421875 1050.7369384765625 381.9998779296875 811.2188110351562 849.0 898.130615234375 640.9468994140625 1232.3624267578125 681.9999389648438 655.9019775390625 594.0 695.1943359375 579.3587036132812 1169.17626953125 430.00006103515625 1080.649658203125 1108.0 1120.617919921875 929.4898681640625 1567.005859375 942.0000610351562 2497.873291015625 2756.0 2376.5322265625 2012.1953125 2662.533447265625 2798.000244140625 2960.771484375 3297.00048828125 2842.96923828125 2420.10205078125 3044.876220703125 3537.0 3219.434814453125 3374.000244140625 2969.193603515625 2594.119140625 3027.752685546875 3618.0 3317.89453125 3435.000244140625 3063.90478515625 2622.203369140625 3217.70654296875 3827.0 1837.083740234375 2005.0 1917.4853515625 1805.4886474609375 2409.416748046875 1875.0001220703125 1039.718994140625 1174.9998779296875 1172.6771240234375 1079.8974609375 1668.1143798828125 974.0000610351562 0.6659409999847412 0.7006049156188965 0.6339126825332642 0.636198878288269 0.46025893092155457 0.7875493764877319
