LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 green_0 green_1 green_2 green_3 green_4 green_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_1_0 red_edge_1_1 red_edge_1_2 red_edge_1_3 red_edge_1_4 red_edge_1_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 red_edge_3_0 red_edge_3_1 red_edge_3_2 red_edge_3_3 red_edge_3_4 red_edge_3_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 nir_2_0 nir_2_1 nir_2_2 nir_2_3 nir_2_4 nir_2_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
10.0 552.3115234375 636.4827270507812 434.5 517.7054443359375 793.3668823242188 740.0985107421875 773.294677734375 1023.5978393554688 786.0 770.4851684570312 1025.071533203125 935.7205810546875 895.8820190429688 896.799560546875 781.5 1006.8876342773438 1211.9501953125 1237.05908203125 1323.0809326171875 1580.82763671875 1446.5 1525.922607421875 1734.2822265625 1722.17919921875 2099.244140625 3001.48876953125 2398.5 2136.16796875 2344.203125 2517.139892578125 2344.030029296875 3299.852783203125 2705.5 2390.786376953125 2572.84619140625 2767.30517578125 2125.676025390625 3283.9716796875 2879.5 2483.8701171875 2509.498291015625 2683.932861328125 2477.13330078125 3382.569091796875 2932.0 2647.822509765625 2687.926025390625 2882.95947265625 2122.80224609375 2271.3232421875 2584.5 2773.26513671875 2993.0751953125 3123.8056640625 1383.4234619140625 1453.102783203125 1661.5 1938.977783203125 2298.7734375 2318.89697265625 0.4069708585739136 0.5864141583442688 0.5730674266815186 0.4237687289714813 0.35124143958091736 0.3673626482486725
10.0 559.5335693359375 1288.7581787109375 430.15179443359375 521.2892456054688 721.9678955078125 307.0 790.738037109375 1673.564208984375 644.8160400390625 705.0916137695312 884.56591796875 590.0 596.4990234375 1350.22705078125 483.60870361328125 679.5386352539062 797.9896850585938 404.0 1215.2362060546875 1784.43017578125 1180.6361083984375 1353.204833984375 1406.297119140625 1179.5 2973.0166015625 3030.468505859375 2728.12548828125 2335.03857421875 2570.23291015625 2816.0 3458.395751953125 3434.04443359375 3279.763916015625 2678.737060546875 2990.8017578125 3333.5 3348.13916015625 3249.51513671875 3481.456298828125 2873.917724609375 2921.7119140625 3641.5 3731.1005859375 3602.520751953125 3532.142822265625 2941.9140625 3263.650390625 3685.0 2125.201171875 2081.95263671875 2225.77880859375 2454.264892578125 2414.820556640625 2236.0 1202.654296875 1428.3675537109375 1372.6611328125 1685.5513916015625 1648.11572265625 1398.5 0.697874903678894 0.45289140939712524 0.7556270360946655 0.6203275918960571 0.5699129104614258 0.7997915744781494
10.0 605.9999389648438 680.5 413.1340637207031 514.0501708984375 691.4593505859375 687.0 1013.9998168945312 948.5 702.8408203125 820.607421875 999.9072265625 1030.5 831.999755859375 731.5 566.8438110351562 781.0416870117188 1114.9091796875 1000.5 1386.9998779296875 1301.5 1136.949951171875 1302.92919921875 1581.55224609375 1648.5 2978.0 2607.0 2647.66748046875 2505.489501953125 2407.196044921875 2924.5 3381.0 2931.0 3095.47412109375 2911.77294921875 2719.45458984375 3305.5 3462.0 2939.0 3109.0751953125 3007.03076171875 2709.15625 3215.0 3624.0 3114.0 3249.326171875 3190.068359375 2951.646728515625 3510.0 2010.9998779296875 1552.5 1897.68798828125 2131.182373046875 2525.73291015625 2405.5 1211.9998779296875 910.5 1123.16552734375 1310.653076171875 1791.8238525390625 1560.5 0.6124825477600098 0.6160364151000977 0.6932007074356079 0.5875887870788574 0.4196780025959015 0.5301952362060547
10.0 946.7412109375 2437.5 464.5462646484375 610.0755615234375 988.0423583984375 522.2361450195312 1151.546630859375 2717.5 703.99658203125 822.2160034179688 1229.488037109375 747.5367431640625 1175.81103515625 2780.5 526.6624755859375 820.5601806640625 1253.8135986328125 625.6887817382812 1483.039306640625 3124.0 1170.912353515625 1392.4254150390625 1626.638916015625 1015.4479370117188 1779.052978515625 3432.0 2455.3427734375 2102.153076171875 1994.0423583984375 2023.947509765625 1923.1707763671875 3611.5 2863.1123046875 2370.04150390625 2159.189453125 2385.512939453125 2031.93310546875 3250.5 2921.54541015625 2421.17333984375 2099.89990234375 2377.152587890625 1998.4771728515625 3585.0 3025.74609375 2612.972900390625 2105.287353515625 2438.25146484375 1271.1715087890625 1155.5 1110.137451171875 1470.786865234375 1122.141357421875 1121.6326904296875 809.666259765625 1082.0 596.63330078125 923.7509765625 722.4605712890625 637.2188720703125 0.264174222946167 0.188450887799263 0.6961067914962769 0.4825977385044098 0.2483372688293457 0.581489622592926
10.0 1064.8623046875 506.29266357421875 285.4346008300781 522.2048950195312 717.1048583984375 666.8872680664062 1185.9776611328125 681.1317749023438 490.4911193847656 742.8705444335938 913.2464599609375 758.6194458007812 1073.927001953125 584.803466796875 312.7354736328125 861.8452758789062 1025.83544921875 645.6171875 1501.8880615234375 1132.1453857421875 912.7545776367188 1239.861572265625 1391.61669921875 993.4436645507812 2845.0478515625 3006.79345703125 3209.281494140625 2471.443359375 2448.238525390625 2129.86279296875 3206.25146484375 3472.06787109375 3799.56298828125 2830.406494140625 2752.5849609375 2465.1494140625 3043.031982421875 3280.00390625 3741.888427734375 2732.683349609375 2684.690185546875 2276.19091796875 3305.8876953125 3515.9140625 4138.8115234375 3042.2900390625 2906.597900390625 2487.086181640625 1997.2021484375 1744.249755859375 2102.382080078125 2301.12939453125 2397.312255859375 1387.9481201171875 1316.169189453125 952.5233154296875 1078.68994140625 1406.7906494140625 1630.1834716796875 850.4450073242188 0.48707252740859985 0.7524755597114563 0.8457134366035461 0.5206878781318665 0.44781574606895447 0.5589779019355774
10.0 682.5291748046875 1094.0 786.7195434570312 607.3031616210938 988.6465454101562 575.0 965.3444213867188 1384.0001220703125 1120.060791015625 907.1785278320312 1260.867919921875 951.5 1116.478271484375 1138.0 1144.3812255859375 874.4427490234375 1344.9742431640625 866.5 1351.9937744140625 1685.0 1760.327880859375 1468.3277587890625 1725.1312255859375 1629.5 1780.2608642578125 3240.0 2722.207763671875 2400.181884765625 2573.90673828125 3118.0 1907.6488037109375 3655.0 3029.967529296875 2832.013916015625 2816.66162109375 3492.5 1858.370361328125 3629.999755859375 3321.20654296875 3209.58154296875 2992.418212890625 3715.5 1982.73095703125 3831.999755859375 3213.9912109375 3059.411865234375 3053.435302734375 3687.5 1873.22802734375 2011.9998779296875 2864.46435546875 2678.9384765625 2896.177734375 2803.5 1224.335205078125 1264.9998779296875 2083.0986328125 1848.107177734375 2182.942138671875 1935.5 0.25028759241104126 0.5226510167121887 0.488375723361969 0.5710788369178772 0.383380264043808 0.6226937770843506
10.0 727.2377319335938 543.0 334.1785583496094 451.76702880859375 978.5228271484375 441.0 979.9031982421875 835.0 563.2918701171875 683.151611328125 1249.482177734375 686.0 1134.591552734375 872.0 350.59320068359375 474.08990478515625 1283.7530517578125 536.0 1499.373779296875 1254.0 817.7537841796875 1046.900390625 1756.1346435546875 1178.9998779296875 1975.7548828125 1845.0 2289.65966796875 2430.6748046875 2226.2900390625 2255.0 2200.7490234375 1986.0 2911.50390625 2979.813232421875 2407.3447265625 2670.0 2067.406005859375 1887.0 2976.920166015625 3036.80712890625 2306.326904296875 2614.0 2324.9287109375 1992.0 3075.7587890625 3226.5625 2398.60205078125 2745.000244140625 1745.1417236328125 994.0 1224.016845703125 1339.6734619140625 1483.681396484375 1394.0 1079.4136962890625 561.0 618.1541748046875 701.323974609375 863.333984375 683.0 0.2901584506034851 0.3678869307041168 0.7882843017578125 0.7248095273971558 0.28367602825164795 0.6596826314926147
10.0 524.7330322265625 703.0660400390625 543.314208984375 612.0396118164062 787.7762451171875 590.13720703125 867.0178833007812 1016.692626953125 785.5197143554688 900.806884765625 975.7908935546875 888.9783325195312 610.6220092773438 975.4771118164062 926.953125 1248.33349609375 1163.78759765625 1216.99560546875 1415.245361328125 1550.5911865234375 1385.436767578125 1679.116943359375 1499.865966796875 1542.262939453125 2929.267578125 2719.240234375 1979.55126953125 2029.2574462890625 1900.7191162109375 1946.3505859375 3375.111572265625 2982.514892578125 2176.668212890625 2191.85693359375 2036.427490234375 2098.9189453125 3064.418701171875 2815.5087890625 2211.076416015625 2206.4091796875 2004.97900390625 1961.98681640625 3419.544189453125 3032.337646484375 2318.11572265625 2391.368896484375 2093.556396484375 2129.759033203125 2129.91650390625 2298.146484375 2416.19091796875 2878.782470703125 2561.781005859375 2749.81884765625 1203.7994384765625 1537.846435546875 1761.038818359375 2255.299072265625 2000.993408203125 2134.976318359375 0.6689163446426392 0.4879302680492401 0.4126254916191101 0.2773374021053314 0.26508644223213196 0.23476560413837433
10.0 544.6944580078125 691.0 514.2427978515625 616.0121459960938 782.2322998046875 649.5 719.4984130859375 996.9999389648438 817.892822265625 920.9147338867188 1038.5013427734375 1011.5 814.3903198242188 999.9999389648438 748.2154541015625 1226.91162109375 1324.7479248046875 1202.0 1093.791748046875 1375.0 1226.2626953125 1487.36865234375 1481.5589599609375 1608.0 1910.66650390625 2306.0 2452.970458984375 2113.1474609375 2022.1676025390625 2448.5 2145.4345703125 2674.000244140625 2819.77880859375 2371.527587890625 2237.70458984375 2719.0 1948.759033203125 2680.000244140625 2939.74267578125 2469.85107421875 2102.580078125 2688.5 2225.916015625 2772.00048828125 3044.9287109375 2612.89111328125 2310.62744140625 2917.0 1534.1583251953125 1858.0 2048.71044921875 2508.831298828125 2403.9150390625 2615.5 893.4488525390625 1211.9998779296875 1175.038818359375 1668.990478515625 1773.8570556640625 1743.0 0.4097878932952881 0.4565218985080719 0.5920787453651428 0.33670568466186523 0.22649158537387848 0.37528786063194275
10.0 545.0361938476562 776.7371215820312 617.9659423828125 620.545166015625 712.052978515625 416.5 754.7246704101562 1102.159423828125 869.0145874023438 904.1595458984375 945.6195068359375 755.5 621.3956298828125 1192.529052734375 994.7042236328125 1222.6298828125 1245.6480712890625 1106.0 1096.2413330078125 1515.6846923828125 1364.67333984375 1498.149658203125 1477.9544677734375 1293.0 2332.04443359375 2495.61181640625 2334.39990234375 1992.811279296875 2026.709228515625 1942.0 2705.93115234375 2804.47216796875 2670.418212890625 2220.73486328125 2258.93798828125 2213.5 2655.450927734375 2612.009765625 2893.646240234375 2372.0205078125 2256.882080078125 2012.0 2915.57177734375 2905.150146484375 2871.8671875 2442.22314453125 2397.8955078125 2347.0 1824.294677734375 2082.522216796875 2249.38037109375 2459.58642578125 2576.820068359375 2293.5 1062.9267578125 1483.7496337890625 1520.6064453125 1779.06591796875 2018.70849609375 1814.5 0.6201685667037964 0.39503011107444763 0.48922449350357056 0.32025641202926636 0.28832370042800903 0.2903308868408203
